,importance,var
487,0.0027017207,v_/devices#IntGW-02/metrics/disk-write-bytes
745,0.0026837087,v_/ports#link-intgw-exgw-b-2-x/metrics/network-incoming-packets
725,0.0026653698,v_/ports#link-intgw-exgw-a-3-x/metrics/network-outgoing-bytes
792,0.0025887794,v_/ports#link-tr-intgw-a-1-x/metrics/network-incoming-bytes-rate
874,0.0025843426,v_/ports#link-tr-intgw-b-1-x/metrics/network-outgoing-packets-rate
967,0.0025218015,v_/ports#link-tr-ssm-b-1-y/metrics/network-outgoing-packets
714,0.0025185943,v_/ports#link-intgw-exgw-a-2-x/metrics/network-outgoing-bytes-rate
979,0.002507744,v_/ports#link-tr-tr-a-1-x/metrics/network-outgoing-packets
851,0.0025053138,v_/ports#link-tr-intgw-a-3-y/metrics/network-incoming-bytes
841,0.0024632665,v_/ports#link-tr-intgw-a-3-x/metrics/network-incoming-packets
702,0.002442711,v_/ports#link-intgw-exgw-a-1-x/metrics/network-outgoing-bytes-rate
530,0.0024327876,v_/devices#RR-01/metrics/disk-write-requests-rate
477,0.002420957,v_/devices#IntGW-02/metrics/cpu_util
476,0.0023665118,v_/devices#IntGW-02/metrics/cpu-delta
664,0.0023658199,v_/ports#RR-01/metrics/network-incoming-packets-rate
862,0.0023526475,v_/ports#link-tr-intgw-a-3-y/metrics/network-outgoing-packets-rate
823,0.0023518065,v_/ports#link-tr-intgw-a-2-x/metrics/network-outgoing-packets
803,0.0023310785,v_/ports#link-tr-intgw-a-1-y/metrics/network-incoming-bytes
973,0.002292137,v_/ports#link-tr-tr-a-1-x/metrics/network-incoming-packets
475,0.0022872742,v_/devices#IntGW-02/metrics/cpu
706,0.0022517492,v_/ports#link-intgw-exgw-a-1-x/metrics/network-outgoing-packets-rate
929,0.002131159,v_/ports#link-tr-intgw-b-3-y/metrics/network-outgoing-bytes
918,0.0021105357,v_/ports#link-tr-intgw-b-3-x/metrics/network-outgoing-bytes-rate
356,0.0021043553,n_/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/address-families/address-family/total-memory
44,0.0020936038,p_/computes0/metrics/hardware/hardware-system_stats-io-outgoing-blocks
857,0.0020751108,v_/ports#link-tr-intgw-a-3-y/metrics/network-outgoing-bytes
659,0.0020446912,v_/ports#RR-01/metrics/network-incoming-bytes
911,0.001984346,v_/ports#link-tr-intgw-b-3-x/metrics/network-incoming-bytes
875,0.0019839185,v_/ports#link-tr-intgw-b-1-y/metrics/network-incoming-bytes
640,0.001974774,v_/ports#IntGW-01/metrics/network-incoming-packets-rate
756,0.0019704867,v_/ports#link-intgw-exgw-b-3-x/metrics/network-incoming-bytes-rate
982,0.0019691207,v_/ports#link-tr-tr-a-1-x/metrics/network-outgoing-packets-rate
811,0.0019584289,v_/ports#link-tr-intgw-a-1-y/metrics/network-outgoing-packets
721,0.0019540335,v_/ports#link-intgw-exgw-a-3-x/metrics/network-incoming-packets
864,0.0019482217,v_/ports#link-tr-intgw-b-1-x/metrics/network-incoming-bytes-rate
99,0.0019469381,p_/computes0/metrics/hardware-ipmi-fan#fan_2_dutycycle_(0x2c)/hardware-ipmi-fan
556,0.0019031273,v_/devices#TR-01/metrics/cpu
661,0.001896779,v_/ports#RR-01/metrics/network-incoming-packets
990,0.0018911394,v_/ports#link-tr-tr-a-1-y/metrics/network-outgoing-bytes-rate
428,0.0018657083,v_/devices#IntGW-01/metrics/disk-device-write-bytes
931,0.0018640761,v_/ports#link-tr-intgw-b-3-y/metrics/network-outgoing-packets
514,0.0018469669,v_/devices#RR-01/metrics/disk-device-write-requests-rate
41,0.0018379962,p_/computes0/metrics/hardware/hardware-network-ip-outgoing-datagrams
469,0.0018311449,v_/devices#IntGW-02/metrics/disk-device-write-bytes
129,0.0018283961,p_/computes0/metrics/hardware-ipmi-temperature#05-p1_dimm_7-12_(0x7)/hardware-ipmi-temperature
434,0.0018146514,v_/devices#IntGW-01/metrics/cpu
153,0.0018110141,n_/devices/modules/openconfig-interfaces/interfaces/interface/state/counters/out-unicast-pkts
641,0.0017859546,v_/ports#IntGW-01/metrics/network-outgoing-bytes
583,0.0017279495,v_/devices#TR-02/metrics/disk-device-allocation
143,0.00172343,n_/devices/modules/openconfig-interfaces/interfaces/interface/state/last-change
947,0.0017215977,v_/ports#link-tr-ssm-a-1-y/metrics/network-incoming-bytes
649,0.0017148807,v_/ports#IntGW-02/metrics/network-incoming-packets
597,0.0017022078,v_/devices#TR-02/metrics/cpu
924,0.0016929704,v_/ports#link-tr-intgw-b-3-y/metrics/network-incoming-bytes-rate
863,0.0016694057,v_/ports#link-tr-intgw-b-1-x/metrics/network-incoming-bytes
39,0.0016673893,p_/computes0/metrics/hardware/hardware-memory-used
642,0.0016369816,v_/ports#IntGW-01/metrics/network-outgoing-bytes-rate
739,0.0016327958,v_/ports#link-intgw-exgw-b-1-x/metrics/network-outgoing-packets
738,0.0016085367,v_/ports#link-intgw-exgw-b-1-x/metrics/network-outgoing-bytes-rate
112,0.0016013135,p_/computes0/metrics/hardware-ipmi-temperature#07-p2_dimm_7-12_(0x9)/hardware-ipmi-temperature
435,0.001567264,v_/devices#IntGW-01/metrics/cpu-delta
470,0.0015580783,v_/devices#IntGW-02/metrics/disk-device-write-bytes-rate
510,0.0015336751,v_/devices#RR-01/metrics/disk-device-write-bytes
708,0.0015290184,v_/ports#link-intgw-exgw-a-2-x/metrics/network-incoming-bytes-rate
429,0.0015085833,v_/devices#IntGW-01/metrics/disk-device-write-bytes-rate
859,0.0014874177,v_/ports#link-tr-intgw-a-3-y/metrics/network-outgoing-packets
133,0.0014789494,p_/computes0/metrics/hardware-ipmi-temperature#27-front_ambient_(0x1d)/hardware-ipmi-temperature
724,0.001475916,v_/ports#link-intgw-exgw-a-3-x/metrics/network-incoming-packets-rate
393,0.0014608108,n_/devices/modules/Cisco-IOS-XE-platform-software-oper/cisco-platform-software/control-processes/control-process/per-core-stats/per-core-stat/user
382,0.0014599039,n_/devices/modules/Cisco-IOS-XE-platform-software-oper/cisco-platform-software/control-processes/control-process/memory-stats/used-number
994,0.0014595753,v_/ports#link-tr-tr-a-1-y/metrics/network-outgoing-packets-rate
654,0.0014473973,v_/ports#IntGW-02/metrics/network-outgoing-bytes-rate
840,0.0014466462,v_/ports#link-tr-intgw-a-3-x/metrics/network-incoming-bytes-rate
370,0.0014394599,n_/devices/modules/Cisco-IOS-XE-platform-software-oper/cisco-platform-software/system-usages/system-usage/process-system-usages/process-system-usage/total-run-time
923,0.0014180526,v_/ports#link-tr-intgw-b-3-y/metrics/network-incoming-bytes
144,0.0014065494,n_/devices/modules/openconfig-interfaces/interfaces/interface/state/counters/in-octets
683,0.0013748667,v_/ports#TR-02/metrics/network-incoming-bytes
